"","text","emotion","polarity"
"1","todays planswarm and cozy at home with achance of enjoying a delicious plate of indomie 
who else is with us","unknown","positive"
"2","todays planswarm and cozy at home with achance of enjoying a delicious plate of indomie 
who else is with us🤤","unknown","positive"
"3","but i sabi do indomie o with eggs","unknown","positive"
"4","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"5","lolu forgot plantain chips and guinness for late night moment with bar and indomie","joy","neutral"
"6","if you took money from your parents to buy spectacles duringeclipse kindly comment the indomie generation babies sh","joy","positive"
"7","wait did you say box of indomie for a family or families that box of indomie youre seeing there","unknown","positive"
"8","ermmmm tea is the generic name just the same way they call every noodles indomie and every seasoning cubes maggi","unknown","negative"
"9","the first step is to know what you are eating hidden calories are the secret to effortlessly weight gain for exam","sadness","positive"
"10","ermmmm tea is the generic name just the same way they call every noodles indomie and every seasoning cubes maggi","unknown","negative"
"11","im going to india and im taking a carton of indomie with me 

guinness queen 
congratulations queen 

nengiofguinness","unknown","positive"
"12","no indomie no lyfeeee","unknown","positive"
"13","i just texted my team to make me indomie hot seblak jeletot aton a saturday","unknown","positive"
"14","later youll say you didnt yab him but let me finish my indomie first","unknown","positive"
"15","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"16","if it makes you winning hahahahahaa gemes amaaat gegara indomie","unknown","positive"
"17","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"18","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"19","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"20","onion indomie because na onions full everywhere","unknown","positive"
"21","the right way to eat indomie is with plenty pepper","unknown","neutral"
"22","the right way to eat indomie is with plenty pepper","unknown","neutral"
"23","got my indomie alrd ready to enjoy svtincomplete","joy","positive"
"24","the right way to eat indomie is with plenty pepper","unknown","neutral"
"25","indomie and iphone","unknown","positive"
"26","the indomie no done boss","unknown","positive"
"27","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"28","man is really hungry suggest a quick food not indomie dems🤲","unknown","neutral"
"29","me 🤝 making indomie atam","unknown","positive"
"30","sowa levelhp mp
special skills making indomie sewing dressmaking drawing papping animols making","unknown","positive"
"31","mc flurry amp indomie


alternative universe","unknown","positive"
"32","na only indomie you sabi cook","unknown","positive"
"33","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"34","sneezed out indomie","unknown","positive"
"35","whenever you see a girl buyin indomie with oversized slippers amp shirt 
bro respect yourself dont toast her shes in","anger","positive"
"36","good at indomie","joy","positive"
"37","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"38","if you took money from your parents to buy spectacles duringeclipse kindly comment the indomie generation babies sh","joy","positive"
"39","man is really hungry suggest a quick food not indomie dems🤲","unknown","neutral"
"40","indomie never even done","unknown","positive"
"41","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"42","these indomie babies have no idea","unknown","positive"
"43","playing now

 indomiebywakenbake 🏋🏾‍️

w xx 
 
tune in","unknown","positive"
"44","these indomie babies have no idea","unknown","positive"
"45","ohh thats whyy because i live in indonesia where indomie is from but has never ever tried that flavour before","joy","positive"
"46","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
"47","indomieforhans 

one year of indomie coming your way 

toyotathailandopen","unknown","negative"
"48","indomie as the best reward","unknown","positive"
"49","i just texted my team to make me indomie hot seblak jeletot aton a saturday","unknown","positive"
"50","the right way to eat indomie is with plenty pepper","unknown","neutral"
"51","hey guys i sell spaghetti and indomie at whole sale prices in bodija ibadan ejoor come and buy what im selling","unknown","positive"
